Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1985-1989     60-64     0.01531  0.07392  2.66   86508    6394  417545  1646107  19.03
1985-1989     65-69     0.02486  0.11741  2.65   80113    9406  378429  1228562  15.34
1985-1989     70-74     0.04087  0.18612  2.60   70707   13160  321957   850133  12.02
1985-1989     75-79     0.06615  0.28481  2.56   57548   16390  247784   528175   9.18
1985-1989     80-84     0.10734  0.42163  2.46   41157   17353  161661   280391   6.81
1985-1989     85-89     0.16804  0.58040  2.34   23804   13816   82220   118730   4.99
1985-1989     90-94     0.25066  0.72553  2.10    9988    7247   28911    36510   3.66
1985-1989     95-99     0.34536  0.83896  1.94    2741    2300    6660     7599   2.77
1985-1989    100-104    0.46138  0.91519  1.70     441     404     876      940   2.13
1985-1989    105-109    0.58223  0.95671  1.49      37      36      62       64   1.71
1985-1989    110+       0.67812  1.00000  1.47       2       2       2        2   1.47
1990-1994        0      0.00903  0.00896  0.07  100000     896   99166  7476920  74.77
1990-1994      1-4      0.00028  0.00112  1.87   99104     111  396179  7377754  74.44
1990-1994      5-9      0.00019  0.00095  2.21   98993      94  494703  6981575  70.53
1990-1994     10-14     0.00021  0.00107  2.72   98899     106  494255  6486872  65.59
1990-1994     15-19     0.00078  0.00388  2.98   98793     383  493190  5992617  60.66
1990-1994     20-24     0.00124  0.00619  2.54   98410     609  490548  5499426  55.88
1990-1994     25-29     0.00120  0.00596  2.49   97801     583  487543  5008878  51.22
1990-1994     30-34     0.00123  0.00612  2.55   97218     595  484633  4521335  46.51
1990-1994     35-39     0.00148  0.00737  2.58   96623     712  481389  4036702  41.78
1990-1994     40-44     0.00214  0.01067  2.68   95911    1023  477178  3555313  37.07
1990-1994     45-49     0.00336  0.01668  2.67   94888    1582  470754  3078135  32.44
1990-1994     50-54     0.00523  0.02583  2.65   93305    2410  460867  2607382  27.94
1990-1994     55-59     0.00847  0.04152  2.67   90895    3774  445679  2146515  23.62
1990-1994     60-64     0.01397  0.06764  2.68   87121    5893  421914  1700836  19.52
1990-1994     65-69     0.02304  0.10934  2.67   81228    8882  385408  1278922  15.74
1990-1994     70-74     0.03828  0.17527  2.60   72347   12680  331291   893514  12.35
1990-1994     75-79     0.06303  0.27328  2.57   59666   16305  258692   562224   9.42
1990-1994     80-84     0.10202  0.40598  2.49   43361   17604  172550   303531   7.00
1990-1994     85-89     0.16217  0.56721  2.35   25757   14610   90092   130981   5.09
1990-1994     90-94     0.24777  0.72621  2.15   11147    8095   32673    40889   3.67
1990-1994     95-99     0.35614  0.84930  1.92    3052    2592    7278     8216   2.69
1990-1994    100-104    0.48238  0.92529  1.67     460     426     882      938   2.04
1990-1994    105-109    0.61167  0.96369  1.45      34      33      54       56   1.63
1990-1994    110+       0.71213  1.00000  1.40       1       1       2        2   1.40
1995-1999        0      0.00745  0.00740  0.06  100000     740   99308  7529024  75.29
1995-1999      1-4      0.00029  0.00117  1.80   99260     116  396786  7429716  74.85
1995-1999      5-9      0.00017  0.00085  2.40   99144      84  495503  7032930  70.94
1995-1999     10-14     0.00020  0.00099  2.93   99060      98  495097  6537427  65.99
1995-1999     15-19     0.00072  0.00361  2.89   98962     357  494058  6042330  61.06
1995-1999     20-24     0.00114  0.00568  2.51   98605     560  491633  5548272  56.27
1995-1999     25-29     0.00118  0.00587  2.46   98045     576  488765  5056639  51.57
1995-1999     30-34     0.00127  0.00632  2.51   97470     616  485810  4567874  46.86
1995-1999     35-39     0.00155  0.00773  2.61   96853     748  482479  4082064  42.15
1995-1999     40-44     0.00222  0.01103  2.65   96105    1060  478029  3599585  37.45
1995-1999     45-49     0.00346  0.01714  2.66   95044    1629  471410  3121556  32.84
1995-1999     50-54     0.00544  0.02684  2.64   93416    2507  461172  2650146  28.37
1995-1999     55-59     0.00822  0.04033  2.67   90908    3666  445995  2188975  24.08
1995-1999     60-64     0.01299  0.06301  2.66   87242    5497  423351  1742979  19.98
1995-1999     65-69     0.02130  0.10144  2.67   81745    8292  389377  1319628  16.14
1995-1999     70-74     0.03583  0.16514  2.63   73453   12130  338491   930251  12.66
1995-1999     75-79     0.05963  0.26087  2.60   61323   15997  268257   591760   9.65
